city,lat,lng,temp_max,humidity,cloudiness,wind speed,country,date
el tigre,8.89,-64.25,80.11,75,74,5.32,VE,1604269734
mayo,38.89,-76.51,57.99,85,75,6.93,US,1604269734
tigil,57.8,158.67,32.86,90,99,6.44,RU,1604269735
pacific grove,36.62,-121.92,88.0,59,1,5.82,US,1604269735
olinda,-8.01,-34.86,80.6,74,40,5.82,BR,1604269407
kalmunai,7.42,81.82,78.75,78,41,5.82,LK,1604269736
chapais,49.78,-74.85,32.0,99,90,8.05,CA,1604269584
mananara,-16.17,49.77,65.05,82,22,4.52,MG,1604269737
salinopolis,-0.61,-47.36,80.69,80,98,11.65,BR,1604269737
coihaique,-45.58,-72.07,73.4,23,0,4.7,CL,1604269737
barranca,-10.75,-77.77,64.81,75,81,8.32,PE,1604269738
verkhnyaya inta,65.98,60.31,26.29,98,99,14.0,RU,1604269739
port lincoln,-34.73,135.87,68.11,52,69,13.31,AU,1604269739
pabrade,55.0,25.78,44.01,75,90,2.24,LT,1604269739
curvelo,-18.76,-44.43,68.9,85,67,8.39,BR,1604269740
makat,47.65,53.35,55.08,39,95,10.31,KZ,1604269740
kerema,-7.96,145.78,82.35,77,78,9.08,PG,1604269741
turukhansk,65.82,87.98,20.23,98,100,7.47,RU,1604269741
gloggnitz,47.67,15.94,51.01,95,100,2.75,AT,1604269741
sobolevo,54.43,31.9,41.0,89,100,8.34,RU,1604269742
french harbor,16.35,-86.43,80.6,94,90,17.22,HN,1604269742
ketchikan,55.34,-131.65,53.6,100,90,27.51,US,1604269729
lebu,-37.62,-73.65,56.73,83,8,6.44,CL,1604269742
governador dix-sept rosado,-5.46,-37.52,80.67,72,1,18.37,BR,1604269744
acarau,-2.89,-40.12,80.26,81,0,16.15,BR,1604269744
goias,-15.58,-49.64,72.5,88,93,4.9,BR,1604269744
grand-santi,4.25,-54.38,77.92,84,87,1.79,GF,1604269745
rincon,32.3,-81.24,71.6,60,75,11.41,US,1604269746
awjilah,29.11,21.29,65.1,54,0,5.7,LY,1604269746
pasighat,28.07,95.33,69.06,75,48,2.01,IN,1604269747
okhotsk,59.38,143.3,18.93,87,100,17.45,RU,1604269747
three hills,51.7,-113.27,68.0,24,18,12.75,CA,1604269581
husavik,66.04,-17.34,37.4,55,90,5.82,IS,1604269748
dong hoi,17.48,106.6,73.85,88,61,8.77,VN,1604269748
bolobo,-2.17,16.23,73.72,91,100,4.47,CD,1604269748
wattegama,6.8,81.48,77.0,100,40,1.12,LK,1604269749
pisco,-13.7,-76.22,64.4,82,90,13.87,PE,1604269749
ponta do sol,32.67,-17.1,69.01,72,20,4.7,PT,1604269749
ambilobe,-13.2,49.05,72.27,71,73,6.06,MG,1604269750
huilong,31.81,121.66,66.0,95,100,8.41,CN,1604269750
sovetskiy,61.36,63.58,26.91,96,23,7.47,RU,1604269750
amga,60.9,131.96,-14.44,88,44,1.66,RU,1604269621
topsham,43.93,-69.98,48.99,92,100,8.81,US,1604269630
kaitong,44.81,123.15,29.79,80,51,13.47,CN,1604269751
arman,59.7,150.17,30.22,94,100,7.52,RU,1604269752
faya,18.39,42.45,60.8,30,0,2.84,SA,1604269752
raudeberg,61.99,5.14,48.0,83,100,27.18,NO,1604269753
alugan,12.22,125.48,77.94,85,86,3.36,PH,1604269753
taveta,-3.4,37.67,68.99,80,37,6.22,KE,1604269753
novaya zaimka,56.49,66.92,26.65,98,0,5.64,RU,1604269754
